;;;;;;;;;Touches;Touches;Touches;Touches;Touches;Touches;Touches;Dribbles;Dribbles;Dribbles;Dribbles;Dribbles;Carries;Carries;Carries;Receiving;Receiving;Receiving;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos;Matches
1985;Simone Pinna\Simone-Pinna;it ITA;DF;Cagliari;it Serie A;21;1997;1.0;90;5;24;51;21;0;82;0;1;0.0;0;0;63;352;245;59;59;100.0;0;0;Matches
1986;Carlo Pinsoglio\Carlo-Pinsoglio;it ITA;GK;Juventus;it Serie A;29;1990;0.2;3;2;3;0;0;0;1;0;0;;0;0;1;0;0;1;1;100.0;0;0;Matches
1987;Pipa\Pipa;es ESP;DF;Espanyol;es La Liga;21;1998;5.3;283;16;97;116;91;5;235;4;9;44.4;5;0;141;1187;743;152;132;86.8;8;3;Matches
1988;Gerard Piqué\Gerard-Pique;es ESP;DF;Barcelona;es La Liga;32;1987;34.4;2996;427;1406;1709;95;28;2891;9;9;100.0;9;0;2084;13521;8080;2211;2171;98.2;9;7;Matches
1989;Lorenzo Pirola\Lorenzo-Pirola;it ITA;DF;Inter;it Serie A;17;2002;0.1;9;0;4;6;0;0;9;0;0;;0;0;8;33;13;8;8;100.0;0;0;Matches
1990;Fabio Pisacane\Fabio-Pisacane;it ITA;DF;Cagliari;it Serie A;33;1986;27.1;1363;269;869;509;64;10;1328;3;4;75.0;3;0;864;5338;2350;839;826;98.5;8;12;Matches
1991;?ukasz Piszczek\Lukasz-Piszczek;pl POL;DF;Dortmund;de Bundesliga;34;1985;23.4;2192;108;863;1172;292;20;2077;13;23;56.5;15;1;1513;7693;3839;1674;1624;97.0;15;6;Matches
1992;Claudio Pizarro\Claudio-Pizarro;pe PER;FWMF;Werder Bremen;de Bundesliga;40;1978;2.6;124;2;12;58;61;21;120;3;5;60.0;3;0;87;506;202;148;84;56.8;11;7;Matches
1993;Miralem Pjani?\Miralem-Pjanic;ba BIH;MF;Juventus;it Serie A;29;1990;25.3;2220;88;419;1366;523;15;2035;16;22;72.7;16;0;1367;5427;2615;1674;1602;95.7;16;15;Matches
1994;Óscar Plano\Oscar-Plano;es ESP;MF;Valladolid;es La Liga;28;1991;27.8;1073;36;219;566;355;53;1056;11;22;50.0;11;1;683;4136;2023;886;656;74.0;44;26;Matches
1995;Marvin Plattenhardt\Marvin-Plattenhardt;de GER;DF;Hertha BSC;de Bundesliga;27;1992;15.5;902;59;334;410;210;3;693;5;8;62.5;5;0;456;2319;1358;471;423;89.8;12;11;Matches
1996;Alassane Pléa\Alassane-Plea;fr FRA;FW;M'Gladbach;de Bundesliga;26;1993;23.8;1031;11;68;499;533;136;989;48;77;62.3;49;1;782;4696;2559;1246;801;64.3;55;50;Matches
1997;Thomas Pledl\Thomas-Pledl;de GER;DFMF;Düsseldorf;de Bundesliga;25;1994;1.0;55;1;9;21;28;5;53;2;3;66.7;2;0;38;285;162;53;33;62.3;3;2;Matches
1998;Daniel Podence\Daniel-Podence;pt POR;FWMF;Wolves;eng Premier League;23;1995;3.2;153;2;15;69;84;16;150;9;13;69.2;10;0;113;910;570;159;117;73.6;3;8;Matches
1999;Paul Pogba\Paul-Pogba;fr FRA;MF;Manchester Utd;eng Premier League;26;1993;13.4;1178;34;211;755;287;29;1151;22;35;62.9;25;1;896;4009;2093;952;908;95.4;13;26;Matches
2000;Joel Pohjanpalo\Joel-Pohjanpalo;fi FIN;MF;Leverkusen;de Bundesliga;24;1994;0.0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;4;0;0.0;0;0;Matches
2001;Andrea Poli\Andrea-Poli;it ITA;MF;Bologna;it Serie A;29;1989;21.3;1256;36;227;775;319;28;1221;20;27;74.1;22;0;930;4244;1924;965;879;91.1;16;17;Matches
2002;Matteo Politano\Matteo-Politano;it ITA;FW;Napoli;it Serie A;25;1993;8.3;460;1;40;145;302;38;429;17;24;70.8;18;0;379;2899;1730;423;357;84.4;13;17;Matches
2003;Matteo Politano\Matteo-Politano;it ITA;FW;Inter;it Serie A;25;1993;2.9;167;1;10;50;124;20;150;8;13;61.5;8;0;125;1409;960;156;121;77.6;5;10;Matches
2004;Sebastian Polter\Sebastian-Polter;de GER;FW;Union Berlin;de Bundesliga;28;1991;3.7;131;0;6;50;80;25;127;3;3;100.0;3;0;74;237;105;199;100;50.3;17;6;Matches
2005;Marin Pongra?i?\Marin-Pongracic;hr CRO;DF;Wolfsburg;de Bundesliga;21;1997;10.3;683;62;355;384;17;5;661;9;12;75.0;10;0;445;3446;2041;428;423;98.8;2;3;Matches
2006;Pere Pons\Pere-Pons;es ESP;MF;Alavés;es La Liga;26;1993;12.1;509;17;111;321;104;15;498;4;15;26.7;7;0;304;1770;897;363;309;85.1;24;16;Matches
2007;Nick Pope\Nick-Pope;eng ENG;GK;Burnley;eng Premier League;27;1992;38.0;1283;1067;1252;29;2;1;828;0;0;;0;0;540;3474;2364;379;378;99.7;0;0;Matches
2008;Pedro Porro\Pedro-Porro;es ESP;DFMF;Valladolid;es La Liga;19;1999;8.2;457;28;155;221;108;4;368;10;20;50.0;12;1;262;1547;961;269;238;88.5;5;12;Matches
2009;Francisco Portillo\Francisco-Portillo;es ESP;MF;Getafe;es La Liga;29;1990;4.2;211;4;20;116;93;8;208;9;11;81.8;9;0;164;839;356;193;149;77.2;10;6;Matches
2010;Portu\Portu;es ESP;FWMF;Real Sociedad;es La Liga;27;1992;26.6;926;13;103;365;526;134;868;10;25;40.0;10;0;587;3862;2396;1064;628;59.0;51;35;Matches
2011;Stefan Posch\Stefan-Posch;at AUT;DF;Hoffenheim;de Bundesliga;22;1997;25.6;1857;204;903;904;180;29;1715;10;14;71.4;11;0;1088;6694;3303;1156;1123;97.1;13;15;Matches
2012;Sergio Postigo\Sergio-Postigo;es ESP;DF;Levante;es La Liga;30;1988;26.4;1296;247;748;581;42;11;1239;5;9;55.6;5;0;699;4380;2752;757;740;97.8;5;5;Matches
2013;Florent Poulolo\Florent-Poulolo;fr FRA;MFDF;Getafe;es La Liga;22;1997;0.0;1;1;1;0;0;0;1;0;0;;0;0;0;0;0;0;0;;0;0;Matches
2014;Yussuf Poulsen\Yussuf-Poulsen;dk DEN;FW;RB Leipzig;de Bundesliga;25;1994;13.6;548;15;39;270;265;79;525;13;25;52.0;13;0;344;1871;957;716;399;55.7;63;31;Matches
2015;Maxime Poundjé\Maxime-Poundje;fr FRA;DF;Bordeaux;fr Ligue 1;26;1992;0.0;5;0;1;3;1;0;3;0;0;;0;0;3;9;2;4;3;75.0;0;0;Matches
2016;Darío Poveda\Dario-Poveda;es ESP;FW;Atlético Madrid;es La Liga;22;1997;0.1;6;0;0;3;3;1;6;0;0;;0;0;4;6;2;8;6;75.0;1;0;Matches
2017;Alejandro Pozo Pozo\Alejandro-Pozo-Pozo;es ESP;DF;Mallorca;es La Liga;20;1999;16.6;1013;50;302;454;325;12;850;14;29;48.3;16;0;595;3667;2234;636;572;89.9;12;13;Matches
2018;Alejandro Pozo Pozo\Alejandro-Pozo-Pozo;es ESP;FWMF;Sevilla;es La Liga;20;1999;0.4;23;0;3;9;12;3;23;0;2;0.0;0;0;17;134;105;20;17;85.0;4;1;Matches
2019;Percy Prado\Percy-Prado;pe PER;DF;Nantes;fr Ligue 1;23;1996;2.1;124;10;55;63;11;0;98;0;0;;0;0;58;204;105;65;61;93.8;1;2;Matches
2020;Dennis Praet\Dennis-Praet;be BEL;MF;Leicester City;eng Premier League;25;1994;12.6;695;26;162;362;216;22;689;16;32;50.0;18;0;461;2412;1275;537;455;84.7;29;13;Matches
2021;Abdón Prats\Abdon-Prats;es ESP;FWMF;Mallorca;es La Liga;26;1992;3.1;114;0;4;57;57;22;108;2;5;40.0;2;0;70;303;127;173;89;51.4;16;5;Matches
2022;Sanjin Prci?\Sanjin-Prcic;ba BIH;MF;Strasbourg;fr Ligue 1;25;1993;0.9;67;0;12;51;7;2;63;1;2;50.0;2;0;47;248;141;46;46;100.0;2;1;Matches
2023;Nicolas de Préville\Nicolas-de-Preville;fr FRA;MFFW;Bordeaux;fr Ligue 1;28;1991;22.2;1331;22;116;795;552;64;1191;34;73;46.6;43;3;922;7064;3867;1217;954;78.4;66;84;Matches
2024;Sebastian Prödl\Sebastian-Prodl;at AUT;DF;Watford;eng Premier League;32;1987;0.6;16;3;8;6;2;2;16;0;0;;0;0;5;6;0;7;7;100.0;0;0;Matches
2025;Kai Pröger\Kai-Proger;de GER;MFFW;Paderborn 07;de Bundesliga;27;1992;23.1;980;24;192;367;503;80;828;66;112;58.9;71;9;646;5962;3605;741;526;71.0;63;50;Matches
2026;Grischa Prömel\Grischa-Promel;de GER;MF;Union Berlin;de Bundesliga;24;1995;10.3;465;18;113;286;96;7;455;8;14;57.1;8;1;277;1692;840;335;273;81.5;17;9;Matches
2027;Davy Pröpper\Davy-Propper;nl NED;MF;Brighton;eng Premier League;27;1991;31.4;2097;73;537;1262;455;29;2076;40;65;61.5;41;2;1517;9195;4261;1601;1498;93.6;32;35;Matches
2028;Antonio Puertas\Antonio-Puertas;es ESP;FWMF;Granada;es La Liga;27;1992;28.5;1103;33;141;552;499;97;1079;54;92;58.7;63;2;790;5726;3176;1137;779;68.5;70;52;Matches
2029;Riqui Puig\Riqui-Puig;es ESP;MF;Barcelona;es La Liga;19;1999;5.7;481;1;37;270;206;9;474;14;16;87.5;15;0;390;2201;988;452;414;91.6;9;4;Matches
2030;Teemu Pukki\Teemu-Pukki;fi FIN;FW;Norwich City;eng Premier League;29;1990;32.1;794;14;70;316;453;177;725;27;46;58.7;28;6;507;3529;2023;1143;531;46.5;50;37;Matches
2031;Erick Pulgar\Erick-Pulgar;cl CHI;MF;Fiorentina;it Serie A;25;1994;32.8;2067;93;431;1126;589;23;1742;12;20;60.0;14;0;1110;4898;2157;1215;1117;91.9;19;27;Matches
2032;Christian Pulisic\Christian-Pulisic;us USA;FW;Chelsea;eng Premier League;20;1998;19.1;1026;6;100;463;567;141;1019;51;101;50.5;57;3;848;6792;4413;1122;836;74.5;49;65;Matches
2033;Ignacio Pussetto\Ignacio-Pussetto;ar ARG;FWDF;Udinese;it Serie A;23;1995;3.8;198;7;36;93;90;20;184;9;15;60.0;10;0;125;957;631;186;128;68.8;10;12;Matches
2034;Ignacio Pussetto\Ignacio-Pussetto;ar ARG;FWDF;Watford;eng Premier League;23;1995;0.8;58;3;22;25;13;1;54;1;5;20.0;2;0;27;169;70;29;22;75.9;2;5;Matches
2035;Fabio Quagliarella\Fabio-Quagliarella;it ITA;FW;Sampdoria;it Serie A;36;1983;25.3;836;20;68;363;447;163;772;13;29;44.8;14;1;535;2300;957;1014;602;59.4;58;26;Matches
2036;Robin Quaison\Robin-Quaison;se SWE;FWMF;Mainz 05;de Bundesliga;25;1993;28.9;900;11;117;431;416;100;868;41;62;66.1;43;0;648;3805;1829;1025;599;58.4;48;56;Matches
2037;Domingos Quina\Domingos-Quina;pt POR;MF;Watford;eng Premier League;19;1999;0.2;19;0;6;10;4;0;19;1;2;50.0;1;0;14;96;52;18;11;61.1;1;2;Matches
2038;Quini\Quini;es ESP;DF;Granada;es La Liga;29;1989;8.0;395;19;121;188;116;5;330;6;11;54.5;6;0;228;1643;868;203;181;89.2;9;9;Matches
2039;Xavi Quintillà\Xavi-Quintilla;es ESP;DF;Villarreal;es La Liga;22;1996;17.5;1171;67;361;550;325;7;997;4;6;66.7;4;0;682;2679;1548;796;751;94.3;9;3;Matches
2040;Quique\Quique;es ESP;FW;Eibar;es La Liga;29;1990;5.4;192;3;20;89;94;13;184;3;4;75.0;3;0;95;519;220;315;145;46.0;21;8;Matches
2041;Adrien Rabiot\Adrien-Rabiot;fr FRA;MF;Juventus;it Serie A;24;1995;21.2;1397;44;231;805;477;44;1381;37;48;77.1;37;2;1047;6619;3354;1176;1046;88.9;27;28;Matches
2042;Nemanja Radoja\Nemanja-Radoja;rs SRB;MF;Levante;es La Liga;26;1993;22.1;1159;60;347;781;97;8;1144;30;40;75.0;30;0;807;4670;1888;818;763;93.3;15;23;Matches
2043;Nemanja Radonji?\Nemanja-Radonjic;rs SRB;FWMF;Marseille;fr Ligue 1;23;1996;9.8;524;6;59;221;308;57;516;33;60;55.0;35;2;439;3990;2824;556;422;75.9;37;32;Matches
2044;Ivan Radovanovi?\Ivan-Radovanovic;rs SRB;MF;Genoa;it Serie A;30;1988;14.6;951;65;307;576;127;6;924;7;9;77.8;8;0;619;3119;1533;672;638;94.9;2;9;Matches
2045;Ionu? Radu\Ionut-Radu;ro ROU;GK;Genoa;it Serie A;22;1997;17.0;694;643;693;4;0;0;504;1;1;100.0;1;0;354;1558;817;354;353;99.7;0;0;Matches
2046;?tefan Radu\Stefan-Radu;ro ROU;DF;Lazio;it Serie A;32;1986;25.6;1597;165;655;851;236;6;1543;15;19;78.9;16;0;1075;6452;4049;1089;1070;98.3;3;3;Matches
2047;Boris Radunovi?\Boris-Radunovic;rs SRB;GK;Hellas Verona;it Serie A;23;1996;3.0;64;54;64;0;0;0;47;0;0;;0;0;30;207;116;24;24;100.0;0;0;Matches
2048;Rafael\Rafael;br BRA;DF;Lyon;fr Ligue 1;29;1990;7.8;553;18;153;313;121;10;487;11;20;55.0;15;0;344;1563;871;354;331;93.5;15;9;Matches
2049;Rafael\Rafael;br BRA;GK;Cagliari;it Serie A;37;1982;5.0;160;153;160;0;0;0;94;0;0;;0;0;66;383;267;57;57;100.0;0;0;Matches
2050;Raffael\Raffael;br BRA;MF;M'Gladbach;de Bundesliga;34;1985;0.7;65;0;2;40;27;5;60;4;4;100.0;4;0;47;279;124;57;42;73.7;1;2;Matches
2051;Rafinha\Rafinha;br BRA;FWMF;Barcelona;es La Liga;26;1993;2.1;201;2;11;98;112;12;193;5;11;45.5;5;0;165;1010;533;187;167;89.3;6;5;Matches
2052;Rafinha\Rafinha;br BRA;MF;Celta Vigo;es La Liga;26;1993;23.5;1686;43;335;966;503;53;1655;56;74;75.7;57;2;1319;7576;4264;1360;1199;88.2;48;52;Matches
2053;Daniele Ragatzu\Daniele-Ragatzu;it ITA;MFFW;Cagliari;it Serie A;27;1991;3.5;214;6;23;93;115;19;205;11;17;64.7;12;1;164;1186;577;192;166;86.5;6;7;Matches
2054;Baba Rahman\Baba-Rahman;gh GHA;DF;Mallorca;es La Liga;25;1994;1.2;74;5;21;34;25;1;56;0;1;0.0;0;0;33;283;189;32;30;93.8;1;1;Matches
2055;Antonio Raillo\Antonio-Raillo;es ESP;DF;Mallorca;es La Liga;27;1991;30.8;1408;262;896;559;47;21;1352;2;2;100.0;2;0;790;5571;2866;866;834;96.3;4;1;Matches
2056;Predrag Rajkovi?\Predrag-Rajkovic;rs SRB;GK;Reims;fr Ligue 1;23;1995;27.0;1067;831;1054;27;0;0;783;0;0;;0;0;571;3392;2052;499;499;100.0;2;0;Matches
2057;Ivan Rakiti?\Ivan-Rakitic;hr CRO;MF;Barcelona;es La Liga;31;1988;17.7;1657;48;303;963;480;32;1590;8;17;47.1;10;2;1170;4997;2469;1414;1317;93.1;12;14;Matches
2058;Benito Raman\Benito-Raman;be BEL;FW;Schalke 04;de Bundesliga;24;1994;17.8;517;6;61;220;270;74;482;19;40;47.5;20;2;363;2604;1359;657;331;50.4;42;29;Matches
2059;Gastón Ramírez\Gaston-Ramirez;uy URU;MFFW;Sampdoria;it Serie A;28;1990;15.5;883;12;122;406;439;50;782;40;66;60.6;42;4;570;4206;2364;793;599;75.5;37;39;Matches
2060;Sandro Ramírez\Sandro-Ramirez;es ESP;FWMF;Valladolid;es La Liga;24;1995;14.5;559;3;44;286;262;48;517;22;44;50.0;22;1;415;2553;1206;640;400;62.5;29;19;Matches
2061;Iván Ramis\Ivan-Ramis;es ESP;DF;Eibar;es La Liga;34;1984;5.1;269;24;89;181;7;5;256;3;3;100.0;3;0;136;723;276;131;126;96.2;2;1;Matches
2062;Adrián Ramos\Adrian-Ramos;co COL;FW;Granada;es La Liga;33;1986;2.5;107;1;2;44;63;13;104;0;1;0.0;0;0;47;239;89;145;83;57.2;8;3;Matches
2063;Sergio Ramos\Sergio-Ramos;es ESP;DF;Real Madrid;es La Liga;33;1986;33.5;2428;309;1212;1216;112;53;2363;11;13;84.6;12;0;1532;7868;4168;1813;1735;95.7;8;3;Matches
2064;Aaron Ramsdale\Aaron-Ramsdale;eng ENG;GK;Bournemouth;eng Premier League;21;1998;37.0;1245;1120;1232;14;0;0;826;0;0;;0;0;544;3109;1776;410;406;99.0;0;0;Matches
2065;Aaron Ramsey\Aaron-Ramsey;wal WAL;MF;Juventus;it Serie A;28;1990;11.7;904;15;105;442;401;61;887;16;23;69.6;16;0;632;2948;1419;850;719;84.6;27;17;Matches
2066;Darren Randolph\Darren-Randolph;ie IRL;GK;West Ham;eng Premier League;32;1987;2.0;47;42;47;0;0;0;29;0;0;;0;0;16;128;100;11;11;100.0;0;0;Matches
2067;Luca Ranieri\Luca-Ranieri;it ITA;DF;Fiorentina;it Serie A;20;1999;2.6;186;14;75;102;22;3;172;4;5;80.0;4;0;121;785;535;127;122;96.1;0;0;Matches
2068;Andrea Ranocchia\Andrea-Ranocchia;it ITA;DF;Inter;it Serie A;31;1988;5.8;408;63;239;191;10;6;399;1;1;100.0;1;0;234;1638;1090;281;275;97.9;0;1;Matches
2069;Tobias Raschl\Tobias-Raschl;de GER;MF;Dortmund;de Bundesliga;19;2000;0.3;17;1;3;9;6;0;17;0;0;;0;0;12;70;30;12;12;100.0;0;1;Matches
2070;Marcus Rashford\Marcus-Rashford;eng ENG;FW;Manchester Utd;eng Premier League;21;1997;29.4;1378;20;91;559;853;163;1332;72;132;54.5;77;13;1019;7485;5234;1557;1103;70.8;71;48;Matches
2071;Milot Rashica\Milot-Rashica;xk KVX;FW;Werder Bremen;de Bundesliga;23;1996;25.2;1068;15;133;466;571;83;976;65;106;61.3;68;1;804;6420;4044;1081;712;65.9;62;69;Matches
2072;Giacomo Raspadori\Giacomo-Raspadori;it ITA;MFFW;Sassuolo;it Serie A;19;2000;2.9;161;0;22;71;80;16;158;5;8;62.5;5;1;126;704;371;161;127;78.9;9;7;Matches
2073;Raúl\Raul;es ESP;FWMF;Betis;es La Liga;18;2000;0.2;8;0;2;3;3;0;7;0;1;0.0;1;0;4;14;5;16;5;31.3;0;0;Matches
2074;Ante Rebi?\Ante-Rebic;hr CRO;FW;Milan;it Serie A;25;1993;15.5;649;17;59;219;415;123;631;33;56;58.9;36;2;481;3204;1984;647;484;74.8;49;28;Matches
2075;Ante Rebi?\Ante-Rebic;hr CRO;FW;Eint Frankfurt;de Bundesliga;25;1993;1.0;31;0;0;10;23;7;29;1;2;50.0;1;0;26;182;135;47;25;53.2;4;3;Matches
2076;Arkadiusz Reca\Arkadiusz-Reca;pl POL;DF;SPAL;it Serie A;24;1995;21.4;1193;73;353;549;387;50;1009;30;57;52.6;34;0;741;5919;3853;784;693;88.4;24;23;Matches
2077;Recio\Recio;es ESP;MF;Leganés;es La Liga;28;1991;17.4;1049;27;186;683;236;15;1009;14;25;56.0;18;0;736;3808;1402;785;721;91.8;15;18;Matches
2078;Daishawn Redan\Daishawn-Redan;nl NED;FW;Hertha BSC;de Bundesliga;18;2001;0.2;9;0;1;6;6;1;9;1;2;50.0;2;0;8;52;37;9;7;77.8;0;0;Matches
2079;Nathan Redmond\Nathan-Redmond;eng ENG;MFFW;Southampton;eng Premier League;25;1994;30.7;1443;29;187;670;726;122;1424;90;146;61.6;98;5;1159;9696;5842;1430;1011;70.7;56;58;Matches
2080;Fabian Reese\Fabian-Reese;de GER;FW;Schalke 04;de Bundesliga;21;1997;1.0;36;2;10;12;20;4;35;3;6;50.0;3;1;29;245;163;42;26;61.9;3;3;Matches
2081;Vasco Regini\Vasco-Regini;it ITA;DF;Sampdoria;it Serie A;28;1990;1.9;84;11;44;39;5;1;78;0;0;;0;0;41;354;227;39;36;92.3;1;0;Matches
2082;Vasco Regini\Vasco-Regini;it ITA;DF;Parma;it Serie A;28;1990;0.6;26;3;15;12;0;0;25;0;0;;0;0;14;60;40;20;20;100.0;0;0;Matches
2083;Sergio Reguilón\Sergio-Reguilon;es ESP;DF;Sevilla;es La Liga;22;1996;27.9;2137;84;576;1033;703;89;1885;41;70;58.6;48;1;1406;9140;5940;1504;1385;92.1;36;28;Matches
2084;Ken Reichel\Ken-Reichel;de GER;DF;Union Berlin;de Bundesliga;32;1986;5.9;327;15;125;132;88;7;263;2;4;50.0;2;0;139;814;478;162;148;91.4;4;4;Matches
2085;Manolo Reina\Manolo-Reina;es ESP;GK;Mallorca;es La Liga;34;1985;36.0;1273;1143;1270;9;0;0;854;0;0;;0;0;594;4148;2679;449;446;99.3;0;0;Matches
2086;Pepe Reina\Pepe-Reina;es ESP;GK;Aston Villa;eng Premier League;36;1982;12.0;427;373;422;6;0;0;288;0;0;;0;0;175;1005;557;176;175;99.4;1;0;Matches
2087;Pepe Reina\Pepe-Reina;es ESP;GK;Milan;it Serie A;36;1982;1.0;41;36;40;1;0;0;30;0;0;;0;0;18;141;85;16;16;100.0;0;0;Matches
2088;Jeff Reine-Adélaïde\Jeff-Reine-Adelaide;fr FRA;MF;Angers;fr Ligue 1;21;1998;0.9;51;0;7;35;19;4;49;7;8;87.5;7;0;46;454;321;43;35;81.4;2;3;Matches
2089;Jeff Reine-Adélaïde\Jeff-Reine-Adelaide;fr FRA;MFFW;Lyon;fr Ligue 1;21;1998;8.7;517;6;77;324;174;14;500;33;45;73.3;34;1;444;3164;1692;507;419;82.6;18;26;Matches
2090;Karim Rekik\Karim-Rekik;nl NED;DF;Hertha BSC;de Bundesliga;24;1994;14.0;847;105;439;428;36;10;820;4;7;57.1;4;1;578;3227;1664;564;560;99.3;3;4;Matches
2091;Álex Remiro\Alex-Remiro;es ESP;GK;Real Sociedad;es La Liga;24;1995;25.0;975;861;970;6;1;1;745;1;1;100.0;1;0;547;2397;1104;520;519;99.8;0;0;Matches
2092;Loïc Rémy\Loic-Remy;fr FRA;FW;Lille;fr Ligue 1;32;1987;10.7;324;8;18;141;186;46;311;16;23;69.6;16;1;228;1287;661;419;254;60.6;26;12;Matches
2093;Panagiotis Retsos\Panagiotis-Retsos;gr GRE;DF;Leverkusen;de Bundesliga;20;1998;1.3;110;5;33;72;11;0;102;1;1;100.0;1;0;73;352;218;74;74;100.0;0;1;Matches
2094;Marco Reus\Marco-Reus;de GER;MFFW;Dortmund;de Bundesliga;30;1989;16.6;895;17;79;411;457;119;858;29;53;54.7;32;2;608;3164;1527;978;681;69.6;37;34;Matches
2095;Elvis Rexhbeçaj\Elvis-Rexhbecaj;de GER;MF;Köln;de Bundesliga;21;1997;6.9;314;9;67;174;100;14;307;6;11;54.5;7;0;199;1279;719;263;204;77.6;13;6;Matches
2096;Gio Reyna\Gio-Reyna;us USA;MFFW;Dortmund;de Bundesliga;16;2002;3.9;280;4;33;163;106;14;277;19;26;73.1;20;1;231;1414;798;268;228;85.1;11;10;Matches
2097;Baptiste Reynet\Baptiste-Reynet;fr FRA;GK;Toulouse;fr Ligue 1;28;1990;22.6;912;739;896;24;3;1;612;0;0;;0;0;447;2441;1516;354;353;99.7;0;1;Matches
2098;Nico Ribaudo\Nico-Ribaudo;es ESP;FWMF;Espanyol;es La Liga;18;2001;2.0;99;0;9;53;47;5;98;5;10;50.0;5;0;87;577;353;99;73;73.7;2;5;Matches
2099;Franck Ribéry\Franck-Ribery;fr FRA;FW;Fiorentina;it Serie A;36;1983;15.7;971;9;82;525;499;95;961;58;95;61.1;62;3;888;7445;4699;969;817;84.3;40;57;Matches
2100;Davide Riccardi\Davide-Riccardi;it ITA;DF;Lecce;it Serie A;23;1996;0.2;4;0;3;1;0;0;4;0;0;;0;0;2;8;0;2;2;100.0;0;0;Matches
2101;Declan Rice\Declan-Rice;eng ENG;MF;West Ham;eng Premier League;20;1999;38.0;2084;112;631;1308;303;29;2052;41;53;77.4;43;0;1366;9211;3921;1351;1267;93.8;19;28;Matches
2102;Chris Richards\Chris-Richards;us USA;DF;Bayern Munich;de Bundesliga;19;2000;0.1;5;0;1;4;0;0;5;0;0;;0;0;2;13;0;4;4;100.0;0;0;Matches
2103;Richarlison\Richarlison;br BRA;FW;Everton;eng Premier League;22;1997;34.1;1375;53;178;586;726;181;1353;66;107;61.7;70;2;995;7820;4546;1507;938;62.2;90;99;Matches
2104;Marco Richter\Marco-Richter;de GER;MFFW;Augsburg;de Bundesliga;21;1997;25.3;1017;22;167;488;442;63;988;49;112;43.8;59;4;760;4802;2552;937;667;71.2;82;67;Matches
2105;Diego Rico\Diego-Rico;es ESP;DF;Bournemouth;eng Premier League;26;1993;25.9;1825;97;642;770;489;13;1452;19;40;47.5;23;5;863;4027;2188;893;838;93.8;13;21;Matches
2106;Sergio Rico\Sergio-Rico;es ESP;GK;Paris S-G;fr Ligue 1;25;1993;2.0;55;47;55;0;0;0;38;1;1;100.0;1;0;18;73;46;20;20;100.0;0;0;Matches
2107;Jaïro Riedewald\Jairo-Riedewald;nl NED;DFMF;Crystal Palace;eng Premier League;22;1996;8.5;482;35;148;257;101;8;408;11;15;73.3;11;1;263;1070;577;280;253;90.4;8;8;Matches
2108;Emiliano Rigoni\Emiliano-Rigoni;ar ARG;MFFW;Sampdoria;it Serie A;26;1993;4.8;260;2;28;122;139;15;229;16;32;50.0;17;2;199;1481;892;237;178;75.1;9;12;Matches
2109;Tomás Rincón\Tomas-Rincon;ve VEN;MF;Torino;it Serie A;31;1988;30.0;1626;87;415;963;351;25;1537;37;47;78.7;40;0;1054;6310;3442;1073;1001;93.3;23;34;Matches
2110;Luis Rioja\Luis-Rioja;es ESP;MF;Alavés;es La Liga;25;1993;18.2;597;12;87;282;293;22;577;24;44;54.5;25;0;431;3326;2024;546;391;71.6;29;26;Matches
2111;Renaud Ripart\Renaud-Ripart;fr FRA;FWDF;Nîmes;fr Ligue 1;26;1993;22.5;972;49;172;468;378;87;891;27;65;41.5;28;2;575;3313;1610;1016;614;60.4;59;36;Matches
2112;Rodrigo Riquelme\Rodrigo-Riquelme;es ESP;MF;Atlético Madrid;es La Liga;19;2000;0.1;8;0;0;3;5;1;8;0;0;;0;0;6;38;20;6;5;83.3;1;1;Matches
2113;Andrea Rispoli\Andrea-Rispoli;it ITA;DF;Lecce;it Serie A;30;1988;21.2;1301;103;498;545;360;22;1158;5;8;62.5;6;1;787;5487;3091;869;813;93.6;12;12;Matches
2114;Marcel Risse\Marcel-Risse;de GER;MFFW;Köln;de Bundesliga;29;1989;1.5;81;3;17;30;37;4;67;1;2;50.0;1;0;53;258;88;48;40;83.3;0;3;Matches
2115;Mihailo Risti?\Mihailo-Ristic;rs SRB;DFMF;Montpellier;fr Ligue 1;23;1995;9.0;468;22;112;243;139;12;413;6;12;50.0;6;1;286;1946;1079;365;286;78.4;11;13;Matches
2116;Matt Ritchie\Matt-Ritchie;sco SCO;DFMF;Newcastle Utd;eng Premier League;29;1989;14.6;850;46;226;349;318;14;697;11;16;68.8;12;0;472;2828;1380;555;461;83.1;7;11;Matches
2117;Marlon Ritter\Marlon-Ritter;de GER;MF;Paderborn 07;de Bundesliga;24;1994;4.8;266;8;64;120;92;8;233;2;4;50.0;2;1;144;782;421;179;153;85.5;7;5;Matches
2118;Cristian Rivera\Cristian-Rivera;es ESP;MF;Leganés;es La Liga;22;1997;3.5;165;9;61;95;16;1;161;2;3;66.7;2;0;104;524;181;111;103;92.8;2;3;Matches
